OTU_ID	CK0_1	CK0_2	CK0_3	GCP11_1	GCP11_2	GCP11_3	GCP16_1	GCP16_2	GCP16_3	GCP18_1	GCP18_2	GCP18_3	GCP19_1	GCP19_2	GCP19_3	GCP01_1	GCP01_2	GCP01_3	GCP02_1	GCP02_2	GCP02_3	GCP03_1	GCP03_2	GCP03_3	GCP04_1	GCP04_2	GCP04_3	GCP05_1	GCP05_2	GCP05_3	GCP06_1	GCP06_2	GCP06_3	GCP08_1	GCP08_2	GCP08_3
OTU_468	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	13	15	6	0	0	0	4	1	0
OTU_47	0	0	0	820	83	26	0	2	3	217	1112	13	0	2	0	0	0	0	1	1	0	2	0	0	1	0	0	9	4	0	28	41	48	2	4	1
OTU_470	0	0	0	0	7	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	16	14	0	0	0	2	1	3
OTU_472	7	3	1	0	0	0	2	3	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	13	0	0	1	0	0	0	0
OTU_478	0	0	0	1	1	0	1	2	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	2	2	10	0	1	0	0	3	0	1
OTU_48	0	2	0	24	11	26	39	12	16	1	0	4	6	17	10	2	2	0	4	0	4	6	37	30	115	58	91	228	86	110	1	8	2	18	7	1
OTU_486	0	0	0	0	3	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	10	0	0	0	0	0	0	1
OTU_488	1	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	7	1	0	0	0	0	0	0
OTU_489	0	0	0	1	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	13	24	0	0	0	0	0	0
OTU_49	0	0	0	76	86	50	67	77	22	0	0	0	1	0	4	1	0	0	1	0	0	0	0	3	0	0	2	52	25	16	0	1	0	2	0	1
OTU_496	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	26	0	0	0	1	0	0
OTU_5	41	42	29	390	364	766	540	427	292	47	2	210	444	956	836	48	18	11	41	52	66	747	928	323	1249	1193	1351	2323	2728	3695	154	123	94	649	259	28
OTU_50	0	0	0	5	4	9	20	17	8	3	17	2	2	3	5	3	0	0	23	1	0	4	18	52	8	19	32	53	48	40	7	1	2	134	134	148
OTU_501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	2	4	4
OTU_503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	2	11	0	0	0	0	0	0
OTU_505	0	0	0	1	2	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	5	8	2	0	0	0	0	0
OTU_506	0	0	0	0	0	0	1	2	0	0	0	0	1	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	18	0	1	0	3	0	0
OTU_51	0	2	0	7	44	50	2	11	16	1	0	2	12	4	7	1	0	0	1	0	1	35	17	2	0	0	21	34	96	72	5	2	0	11	3	10
OTU_510	0	0	0	2837	3307	1756	1224	1366	2342	3827	5693	4171	5472	4202	5466	0	0	2	0	2	1	0	0	0	20	10	0	1	0	0	5686	3917	5939	3350	3585	3806
OTU_511	0	0	0	1	2	0	0	2	0	1	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	3	1	2
OTU_512	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0
OTU_515	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	1
